dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,label_source_category,label_trust,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,calinski_harabasz,davies_bouldin,trustworthiness,continuity,silhouette_sampled,silhouette_n_used,silhouette_n_total,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
paul15,ae,mse,2,19,2730,273,test,2000,42,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7673388278388278,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,631.1441237538627,0.8220204444347294,0.8286184255995577,0.8392646347363328,False,273,273,,,,not_available,0,273,full,273,273,,none,0.5350769339026985,94,2.2084474563598633,141.60205078125,0.31242470596133703,0.5046278793176063,0.3509880006313324,0.3509880006313324,-0.023625273257493973,0.5441622629270448,0.002697107863986448,success,6.952680349349976
paul15,ae,mse,2,19,2730,273,test,2000,43,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7664725274725275,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,667.6856002531498,0.8057551293323909,0.8121197041951759,0.8273329186536733,False,273,273,,,,not_available,0,273,full,273,273,,none,0.522885880627475,100,2.175408363342285,141.60205078125,0.2994802654382792,0.4830185807760121,0.3693194091320038,0.3693194091320038,-0.05525776371359825,0.5516550774539347,0.0031909742459506267,success,7.323627233505249
paul15,ae,mse,2,19,2730,273,test,2000,44,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7602197802197802,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,783.2861973413188,0.8044306175767402,0.8235676273412122,0.8300504526919621,False,273,273,,,,not_available,0,273,full,273,273,,none,0.5456523973863203,100,2.155914306640625,141.60205078125,0.2990309232379545,0.49211850147458397,0.381938099861145,0.381938099861145,-0.0632622018456459,0.5438220356846903,0.0029607110775177505,success,6.938348293304443
paul15,ae,mse,4,19,2730,273,test,2000,42,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7673388278388278,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,204.34072760686982,1.1472292940577622,0.8563328495403967,0.8540880503144654,False,273,273,,,,not_available,0,273,full,273,273,,none,0.5264186391900311,90,2.1873931884765625,141.60693359375,0.35920974692368884,0.5307929449706879,0.24504436552524567,0.24504436552524567,0.05693498253822327,0.5337415093030685,0.0027457191632906087,success,6.923036813735962
paul15,ae,mse,4,19,2730,273,test,2000,43,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7664725274725275,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,185.14152973387772,1.094567437088996,0.8486778630174856,0.848951551593061,False,273,273,,,,not_available,0,273,full,273,273,,none,0.5149885341797993,100,2.165325164794922,141.60693359375,0.29580089927229264,0.502985245658458,0.25092944502830505,0.25092944502830505,0.025526056066155434,0.5405182004411578,0.002077379670177152,success,7.329904317855835
paul15,ae,mse,4,19,2730,273,test,2000,44,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7602197802197802,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,203.9282748526833,1.115954880258209,0.8484318197525744,0.855871172852305,False,273,273,,,,not_available,0,273,full,273,273,,none,0.5367582147811358,99,2.1878433227539062,141.60693359375,0.33742565312580824,0.5110880767023214,0.25118911266326904,0.25118911266326904,0.02782105840742588,0.5332948080785982,0.0022627005355768223,success,7.349003314971924
paul15,ae,mse,6,19,2730,273,test,2000,42,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7673388278388278,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,181.6341933275855,1.3123950880794277,0.8626498030271615,0.8549146451033244,False,273,273,,,,not_available,0,273,full,273,273,,none,0.522492480802012,100,2.085500717163086,141.61181640625,0.3618110069480316,0.5442819890161842,0.19633422791957855,0.19633422791957855,0.045572247356176376,0.5283534273559793,0.002101523662214374,success,7.858586549758911
paul15,ae,mse,6,19,2730,273,test,2000,43,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7664725274725275,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,128.96161727341183,1.2184569234911644,0.8542677448337825,0.8592411362222683,False,273,273,,,,not_available,0,273,full,273,273,,none,0.5116989429180439,100,2.2026758193969727,141.61181640625,0.3151313807012916,0.5082297644210683,0.22516095638275146,0.22516095638275146,0.012552009895443916,0.5369556672843822,0.0017829310068098116,success,7.496073246002197
paul15,ae,mse,6,19,2730,273,test,2000,44,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7602197802197802,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,148.5233933772719,1.2885527165074175,0.8488022669154744,0.8600234985140646,False,273,273,,,,not_available,0,273,full,273,273,,none,0.5329232901443929,100,2.2244081497192383,141.61181640625,0.34611436507457277,0.5326454885281421,0.21309401094913483,0.21309401094913483,0.00710333464667201,0.52972958223287,0.001627853054243177,success,7.5670716762542725
paul15,ae,mse,8,19,2730,273,test,2000,42,,paul15_clusters,provided:paul15_clusters,provided,ground_truth,,,,,,,False,True,False,True,False,False,,0.7673388278388278,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,107.05486547926672,1.398945485302398,0.8657377842283502,0.8579390420899855,False,273,273,,,,not_available,0,273,full,273,273,,none,0.5196401629692469,100,2.2108888626098633,141.61669921875,0.29129458719646173,0.48579084311946924,0.1798614114522934,0.1798614114522934,0.037693094462156296,0.5256033410956135,0.0019280908215161653,success,7.675112962722778
